02.10.2020 14:17:03.923 [main] INFO  abergaz.com.Start - Start FileTransfer
02.10.2020 14:17:03.949 [main] INFO  abergaz.com.Start - Init settings start
02.10.2020 14:17:03.951 [main] INFO  abergaz.com.Settings - Настроечный файл:
02.10.2020 14:17:03.954 [main] INFO  abergaz.com.Settings - C:\JavaWork\FiileTransfer\out\production\settings.properties
02.10.2020 14:17:03.955 [main] INFO  abergaz.com.Settings - sbrf_in = C:\Finline\VEB1\sbrf_in
02.10.2020 14:17:03.955 [main] INFO  abergaz.com.Settings - sbrf_in.arch = C:\Finline\VEB1\sbrf_in.arch
02.10.2020 14:17:03.955 [main] INFO  abergaz.com.Settings - sbrf_out = C:\Finline\VEB1\sbrf_out
02.10.2020 14:17:03.956 [main] INFO  abergaz.com.Settings - sbrf_out.arch = C:\Finline\VEB1\sbrf_out.arch
02.10.2020 14:17:03.956 [main] INFO  abergaz.com.Settings - ABS.SBRF.CM.SWIFT.F = C:\Finline\ABS\ABS.SBRF.CM.SWIFT.F
02.10.2020 14:17:03.956 [main] INFO  abergaz.com.Settings - SBRF.ABS.CM.SWFIT.F = C:\Finline\ABS\SBRF.ABS.CM.SWFIT.F
02.10.2020 14:17:03.956 [main] INFO  abergaz.com.Settings - SBRF.ABS.CM.SWFIT.ACK.F = C:\Finline\ABS\SBRF.ABS.CM.SWFIT.ACK.F
02.10.2020 14:17:03.956 [main] INFO  abergaz.com.Start - Init settings end
